,code,year,type,subtype,value
1,AGU,2015,direct,protect_cost,1390014146
2,BCN,2015,direct,protect_cost,4269754430
3,BCS,2015,direct,protect_cost,1238250746
4,CAM,2015,direct,protect_cost,1029192152
5,COA,2015,direct,protect_cost,2983548839
6,COL,2015,direct,protect_cost,660649643.8
7,CHP,2015,direct,protect_cost,3420392799
8,CHH,2015,direct,protect_cost,3444839160
9,DIF,2015,direct,protect_cost,14604523496
10,DUR,2015,direct,protect_cost,1476119347
11,GUA,2015,direct,protect_cost,5699148156
12,GRO,2015,direct,protect_cost,2378191212
13,HID,2015,direct,protect_cost,2986404600
14,JAL,2015,direct,protect_cost,7180350771
15,MEX,2015,direct,protect_cost,20368952986
16,MIC,2015,direct,protect_cost,3486913137
17,MOR,2015,direct,protect_cost,2104527097
18,NAY,2015,direct,protect_cost,567777307.9
19,NLE,2015,direct,protect_cost,6446221535
20,OAX,2015,direct,protect_cost,2883926325
21,PUE,2015,direct,protect_cost,5554884761
22,QUE,2015,direct,protect_cost,3349575062
23,ROO,2015,direct,protect_cost,2028739793
24,SLP,2015,direct,protect_cost,2702497494
25,SIN,2015,direct,protect_cost,2434308173
26,SON,2015,direct,protect_cost,3262800460
27,TAB,2015,direct,protect_cost,2928213064
28,TAM,2015,direct,protect_cost,3903731231
29,TLA,2015,direct,protect_cost,1260553851
30,VER,2015,direct,protect_cost,6884353702
31,YUC,2015,direct,protect_cost,1953078461
32,ZAC,2015,direct,protect_cost,1167075759
129,AGU,2015,direct,losses_from_crime,2386920312
130,BCN,2015,direct,losses_from_crime,9255587624
131,BCS,2015,direct,losses_from_crime,1804185713
132,CAM,2015,direct,losses_from_crime,1246846358
133,COA,2015,direct,losses_from_crime,3308021517
134,COL,2015,direct,losses_from_crime,908106924.5
135,CHP,2015,direct,losses_from_crime,5421392851
136,CHH,2015,direct,losses_from_crime,3551727400
137,DIF,2015,direct,losses_from_crime,40691903658
138,DUR,2015,direct,losses_from_crime,2608884855
139,GUA,2015,direct,losses_from_crime,10216931046
140,GRO,2015,direct,losses_from_crime,8695293883
141,HID,2015,direct,losses_from_crime,2995849771
142,JAL,2015,direct,losses_from_crime,17760518160
143,MEX,2015,direct,losses_from_crime,51054991048
144,MIC,2015,direct,losses_from_crime,10338936144
145,MOR,2015,direct,losses_from_crime,4756916406
146,NAY,2015,direct,losses_from_crime,940430794.3
147,NLE,2015,direct,losses_from_crime,6396818373
148,OAX,2015,direct,losses_from_crime,3865517346
149,PUE,2015,direct,losses_from_crime,10018480699
150,QUE,2015,direct,losses_from_crime,5184300974
151,ROO,2015,direct,losses_from_crime,2096573296
152,SLP,2015,direct,losses_from_crime,3888243794
153,SIN,2015,direct,losses_from_crime,3629605310
154,SON,2015,direct,losses_from_crime,6719287607
155,TAB,2015,direct,losses_from_crime,3207887102
156,TAM,2015,direct,losses_from_crime,6276885372
157,TLA,2015,direct,losses_from_crime,2204009271
158,VER,2015,direct,losses_from_crime,15140894466
159,YUC,2015,direct,losses_from_crime,2057629514
160,ZAC,2015,direct,losses_from_crime,2388365503
33,AGU,2016,direct,protect_cost,2524491736
34,BCN,2016,direct,protect_cost,4620732759
35,BCS,2016,direct,protect_cost,1368233926
