Banco de México,,,,,,,
,,,,,,,
Exchange rates and auctions historical information,,,,,,,
Tipos de cambio diarios,,,,,,,
,,,,,,,
Date: 12/17/2018 06:17:23,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Title,"Exchange rate historical series, U.S. dollar - MXN exchange rate since 1954",,,,,,
Available period,04/19/1954 - 12/17/2018,,,,,,
Frequency,Daily,,,,,,
Data type,Exchange Rate,,,,,,
Unit,Pesos per US Dollars,,,,,,
Base,,,,,,Average ,19.21421818
Announcement,,,,,,,
Information type,Levels,,,,,,
Date,SF63528,,,,,,
01-02-18,19.4899,,,,,,
01-03-18,19.3717,,,,,,
01-04-18,19.2427,,,,,,
01-05-18,19.2737,,,,,,
01-08-18,19.2323,,,,,,
01-09-18,19.3065,,,,,,
01-10-18,19.2405,,,,,,
01-11-18,19.3433,,,,,,
01-12-18,19.0446,,,,,,
01/15/2018,18.8113,,,,,,
01/16/2018,18.8362,,,,,,
01/17/2018,18.655,,,,,,
01/18/2018,18.6361,,,,,,
01/19/2018,18.5813,,,,,,
01/22/2018,18.7118,,,,,,
01/23/2018,18.798,,,,,,
01/24/2018,18.5178,,,,,,
01/25/2018,18.478,,,,,,
01/26/2018,18.4672,,,,,,
01/29/2018,18.6196,,,,,,
01/30/2018,18.6982,,,,,,
01/31/2018,18.6069,,,,,,
02-01-18,18.4004,,,,,,
02-02-18,18.5248,,,,,,
02-06-18,18.7009,,,,,,
02-07-18,18.6492,,,,,,
02-08-18,18.8815,,,,,,
02-09-18,18.8623,,,,,,
02-12-18,18.6703,,,,,,
02/13/2018,18.6269,,,,,,
02/14/2018,18.6025,,,,,,
02/15/2018,18.5159,,,,,,
02/16/2018,18.4797,,,,,,
02/19/2018,18.536,,,,,,
02/20/2018,18.6594,,,,,,
02/21/2018,18.6518,,,,,,
02/22/2018,18.6574,,,,,,
02/23/2018,18.5659,,,,,,
02/26/2018,18.6456,,,,,,
02/27/2018,18.7902,,,,,,
02/28/2018,18.8331,,,,,,
03-01-18,18.861,,,,,,
03-02-18,18.8909,,,,,,
03-05-18,18.8838,,,,,,
03-06-18,18.7246,,,,,,
03-07-18,18.7922,,,,,,
03-08-18,18.7148,,,,,,
03-09-18,18.5812,,,,,,
03-12-18,18.6199,,,,,,
03/13/2018,18.5604,,,,,,
03/14/2018,18.5854,,,,,,
03/15/2018,18.7023,,,,,,
03/16/2018,18.7216,,,,,,
03/20/2018,18.7614,,,,,,
03/21/2018,18.6001,,,,,,
03/22/2018,18.5078,,,,,,
03/23/2018,18.5364,,,,,,
03/26/2018,18.3268,,,,,,
03/27/2018,18.3445,,,,,,
03/28/2018,18.2709,,,,,,
04-02-18,18.2967,,,,,,
04-03-18,18.2044,,,,,,
04-04-18,18.2244,,,,,,
04-05-18,18.1081,,,,,,
04-06-18,18.2888,,,,,,
04-09-18,18.2753,,,,,,
04-10-18,18.2882,,,,,,
04-11-18,18.2018,,,,,,
04-12-18,18.1353,,,,,,
04/13/2018,18.087,,,,,,
04/16/2018,18.0394,,,,,,
04/17/2018,17.9787,,,,,,
04/18/2018,18.0333,,,,,,
04/19/2018,18.2819,,,,,,
04/20/2018,18.621,,,,,,
04/23/2018,18.8628,,,,,,
04/24/2018,18.8139,,,,,,
04/25/2018,19.053,,,,,,
04/26/2018,18.8644,,,,,,
04/27/2018,18.6847,,,,,,
04/30/2018,18.7878,,,,,,
05-02-18,19.0943,,,,,,
05-03-18,19.1223,,,,,,
05-04-18,19.2017,,,,,,
05-07-18,19.4232,,,,,,
05-08-18,19.5781,,,,,,
05-09-18,19.5387,,,,,,
05-10-18,19.2989,,,,,,
05-11-18,19.3539,,,,,,
05/14/2018,19.5214,,,,,,
05/15/2018,19.7854,,,,,,
05/16/2018,19.7094,,,,,,
05/17/2018,19.7033,,,,,,
05/18/2018,19.9319,,,,,,
05/21/2018,19.9054,,,,,,
05/22/2018,19.7528,,,,,,
05/23/2018,19.7661,,,,,,
05/24/2018,19.7048,,,,,,
05/25/2018,19.5608,,,,,,
05/28/2018,19.5915,,,,,,
05/29/2018,19.7499,,,,,,
05/30/2018,19.7322,,,,,,
05/31/2018,19.9759,,,,,,
06-01-18,19.8662,,,,,,
06-04-18,19.9934,,,,,,
06-05-18,20.3863,,,,,,
06-06-18,20.3129,,,,,,
06-07-18,20.46,,,,,,
06-08-18,20.5281,,,,,,
06-11-18,20.4722,,,,,,
06-12-18,20.596,,,,,,
06/13/2018,20.6259,,,,,,
06/14/2018,20.6953,,,,,,
06/15/2018,20.716,,,,,,
06/18/2018,20.6968,,,,,,
06/19/2018,20.5531,,,,,,
06/20/2018,20.3937,,,,,,
06/21/2018,20.3689,,,,,,
06/22/2018,20.1264,,,,,,
06/25/2018,20.0908,,,,,,
06/26/2018,19.8754,,,,,,
06/27/2018,20.0553,,,,,,
06/28/2018,19.8633,,,,,,
06/29/2018,19.6912,,,,,,
07-02-18,20.1453,,,,,,
07-03-18,19.5974,,,,,,
07-04-18,19.4284,,,,,,
07-05-18,19.2513,,,,,,
07-06-18,19.0719,,,,,,
07-09-18,19.1563,,,,,,
07-10-18,19.0559,,,,,,
07-11-18,18.9632,,,,,,
07-12-18,18.8241,,,,,,
07/13/2018,18.8854,,,,,,
07/16/2018,18.836,,,,,,
07/17/2018,18.8763,,,,,,
07/18/2018,18.91,,,,,,
07/19/2018,19.079,,,,,,
07/20/2018,19.0694,,,,,,
07/23/2018,19.0761,,,,,,
07/24/2018,18.8506,,,,,,
07/25/2018,18.7709,,,,,,
07/26/2018,18.6234,,,,,,
07/27/2018,18.5515,,,,,,
07/30/2018,18.5413,,,,,,
07/31/2018,18.6457,,,,,,
08-01-18,18.5899,,,,,,
08-02-18,18.6349,,,,,,
08-03-18,18.5725,,,,,,
08-06-18,18.5433,,,,,,
08-07-18,18.4631,,,,,,
08-08-18,18.4542,,,,,,
08-09-18,18.6511,,,,,,
08-10-18,18.9273,,,,,,
08/13/2018,19.1801,,,,,,
08/14/2018,18.9973,,,,,,
08/15/2018,19.2339,,,,,,
08/16/2018,19.01,,,,,,
08/17/2018,19.0615,,,,,,
08/20/2018,19.0305,,,,,,
08/21/2018,18.8784,,,,,,
08/22/2018,18.8176,,,,,,
08/23/2018,18.8672,,,,,,
08/24/2018,18.8339,,,,,,
08/27/2018,18.6697,,,,,,
08/28/2018,18.9354,,,,,,
08/29/2018,19.0659,,,,,,
08/30/2018,19.1258,,,,,,
08/31/2018,19.1792,,,,,,
09-03-18,19.2137,,,,,,
09-04-18,19.3609,,,,,,
09-05-18,19.4433,,,,,,
09-06-18,19.3546,,,,,,
09-07-18,19.2394,,,,,,
09-10-18,19.2989,,,,,,
09-11-18,19.268,,,,,,
09-12-18,19.0511,,,,,,
09/13/2018,18.8775,,,,,,
09/14/2018,18.8689,,,,,,
09/17/2018,18.8399,,,,,,
09/18/2018,18.7694,,,,,,
09/19/2018,18.7672,,,,,,
09/20/2018,18.8296,,,,,,
09/21/2018,18.8539,,,,,,
09/24/2018,18.8516,,,,,,
09/25/2018,18.987,,,,,,
09/26/2018,18.8986,,,,,,
09/27/2018,18.812,,,,,,
09/28/2018,18.7231,,,,,,
10-01-18,18.6531,,,,,,
10-02-18,18.7503,,,,,,
10-03-18,18.8014,,,,,,
10-04-18,19.1328,,,,,,
10-05-18,18.9444,,,,,,
10-08-18,18.9234,,,,,,
10-09-18,19,,,,,,
10-10-18,19.1183,,,,,,
10-11-18,19.0217,,,,,,
10-12-18,18.9202,,,,,,
10/15/2018,18.8096,,,,,,
10/16/2018,18.7693,,,,,,
10/17/2018,18.8012,,,,,,
10/18/2018,19.1018,,,,,,
10/19/2018,19.2183,,,,,,
10/22/2018,19.3669,,,,,,
10/23/2018,19.4169,,,,,,
10/24/2018,19.4623,,,,,,
10/25/2018,19.4383,,,,,,
10/26/2018,19.479,,,,,,
10/29/2018,19.8022,,,,,,
10/30/2018,20.0258,,,,,,
10/31/2018,20.3177,,,,,,
11-01-18,20.1329,,,,,,
11-05-18,19.9636,,,,,,
11-06-18,19.8609,,,,,,
11-07-18,19.8245,,,,,,
11-08-18,20.0438,,,,,,
11-09-18,20.3614,,,,,,
11-12-18,20.3179,,,,,,
11/13/2018,20.5158,,,,,,
11/14/2018,20.3979,,,,,,
11/15/2018,20.3371,,,,,,
11/16/2018,20.155,,,,,,
11/20/2018,20.4123,,,,,,
11/21/2018,20.2023,,,,,,
11/22/2018,20.2984,,,,,,
11/23/2018,20.3935,,,,,,
11/26/2018,20.5304,,,,,,
11/27/2018,20.4977,,,,,,
11/28/2018,20.4108,,,,,,
11/29/2018,20.2217,,,,,,
11/30/2018,20.3455,,,,,,
12-03-18,20.2346,,,,,,
12-04-18,20.5123,,,,,,
12-05-18,20.5672,,,,,,
12-06-18,20.4705,,,,,,
12-07-18,20.2609,,,,,,
12-10-18,20.3621,,,,,,
12-11-18,20.2889,,,,,,
12/13/2018,20.2566,,,,,,
12/14/2018,20.3337,,,,,,
12/17/2018,20.1126,,,,,,
,,,,,,,
