state,Seguro,Inseguro
Aguascalientes,48.24030405,49.1040398
Baja California,41.46939311,53.69057231
Baja California Sur,58.96679457,39.26051948
Campeche,38.66067261,58.92491756
Coahuila,19.85260789,78.49509304
Colima,41.66717626,56.87111437
Chiapas,35.95967638,62.09115356
Chihuahua,22.2114443,75.16707073
Distrito Federal,22.06889896,77.60838018
Durango,23.61180666,73.46707369
Guanajuato,31.82732907,64.79833552
Guerrero,18.92228626,78.91915425
Hidalgo,31.45234463,65.49803479
Jalisco,31.0211313,67.97146363
México,6.358474578,92.63696521
Michoacán,16.34323403,81.99170096
Morelos,10.63974462,89.04843054
Nayarit,47.07742167,51.10212681
Nuevo León,25.55712469,72.97080499
Oaxaca,20.56871214,77.08152859
Puebla,34.00801504,63.58392276
Querétaro,59.26834693,38.54466425
Quintana Roo,30.3701481,66.95126095
San Luis Potosí,24.85161018,73.12657315
Sinaloa,26.48019924,72.06207101
Sonora,41.64555703,57.1864717
Tabasco,13.21562102,86.07121085
Tamaulipas,13.42149108,83.91339879
Tlaxcala,36.62940082,59.9863584
Veracruz,16.86952117,80.70554808
Yucatán,69.6463568,29.48441494
Zacatecas,18.5296988,80.31986783
