state,Seguro,Inseguro,
Aguascalientes,56.1,42.5,
Baja California,39.2,56.8,
Baja California Sur,52.5,44.2,
Campeche,40.8,54.4,
Coahuila de Zaragoza,39.9,55.9,
Colima,26.8,72.0,
Chiapas,39.7,57.2,
Chihuahua,33.1,63.1,
Ciudad de México,15.1,84.6,
Durango,41.0,57.0,
Guanajuato,37.2,59.6,
Guerrero,13.0,84.7,
Hidalgo,40.6,56.6,
Jalisco,29.7,69.1,
Estado de México,7.9,90.6,
Michoacán de Ocampo,25.1,71.7,
Morelos,14.7,84.3,
Nayarit,47.9,48.5,
Nuevo León,25.0,73.5,
Oaxaca,22.1,75.3,
Puebla,28.2,68.4,
Querétaro,35.5,62.1,
Quintana Roo,37.6,58.8,
San Luis Potosí,24.3,72.1,
Sinaloa,26.3,72.2,
Sonora,47.6,51.3,
Tabasco,10.7,87.9,
Tamaulipas,12.4,86.2,
Tlaxcala,42.7,55.1,
Veracruz de Ignacio de la Llave,12.1,85.1,
Yucatán,67.1,31.5,
Zacatecas,15.0,82.5,
