code,year,indicator,subtype,type,value,id
AGU,2015,homicide,total,raw,41,1
BCN,2015,homicide,total,raw,909,1
BCS,2015,homicide,total,raw,177,1
CAM,2015,homicide,total,raw,59,1
COA,2015,homicide,total,raw,340,1
COL,2015,homicide,total,raw,189,1
CHP,2015,homicide,total,raw,549,1
CHH,2015,homicide,total,raw,1151,1
DIF,2015,homicide,total,raw,901,1
DUR,2015,homicide,total,raw,238,1
GUA,2015,homicide,total,raw,978,1
GRO,2015,homicide,total,raw,2017,1
HID,2015,homicide,total,raw,158,1
JAL,2015,homicide,total,raw,1143,1
MEX,2015,homicide,total,raw,2362,1
MIC,2015,homicide,total,raw,963,1
MOR,2015,homicide,total,raw,510,1
NAY,2015,homicide,total,raw,91,1
NLE,2015,homicide,total,raw,451,1
OAX,2015,homicide,total,raw,233,1
PUE,2015,homicide,total,raw,565,1
QUE,2015,homicide,total,raw,154,1
ROO,2015,homicide,total,raw,232,1
SLP,2015,homicide,total,raw,264,1
SIN,2015,homicide,total,raw,994,1
SON,2015,homicide,total,raw,613,1
TAB,2015,homicide,total,raw,252,1
TAM,2015,homicide,total,raw,762,1
TLA,2015,homicide,total,raw,61,1
VER,2015,homicide,total,raw,615,1
YUC,2015,homicide,total,raw,53,1
ZAC,2015,homicide,total,raw,286,1
AGU,2016,homicide,total,raw,42,1
BCN,2016,homicide,total,raw,1257,1
BCS,2016,homicide,total,raw,269,1
CAM,2016,homicide,total,raw,91,1
COA,2016,homicide,total,raw,247,1
COL,2016,homicide,total,raw,606,1
CHP,2016,homicide,total,raw,521,1
CHH,2016,homicide,total,raw,1470,1
DIF,2016,homicide,total,raw,1035,1
DUR,2016,homicide,total,raw,238,1
GUA,2016,homicide,total,raw,1110,1
GRO,2016,homicide,total,raw,2234,1
HID,2016,homicide,total,raw,176,1
JAL,2016,homicide,total,raw,1288,1
MEX,2016,homicide,total,raw,2315,1
MIC,2016,homicide,total,raw,1476,1
MOR,2016,homicide,total,raw,686,1
NAY,2016,homicide,total,raw,43,1
NLE,2016,homicide,total,raw,644,1
OAX,2016,homicide,total,raw,935,1
PUE,2016,homicide,total,raw,670,1
QUE,2016,homicide,total,raw,124,1
ROO,2016,homicide,total,raw,165,1
SLP,2016,homicide,total,raw,341,1
SIN,2016,homicide,total,raw,1161,1
SON,2016,homicide,total,raw,660,1
TAB,2016,homicide,total,raw,312,1
TAM,2016,homicide,total,raw,853,1
TLA,2016,homicide,total,raw,84,1
VER,2016,homicide,total,raw,1523,1
YUC,2016,homicide,total,raw,51,1
