state,Seguro,Inseguro
Aguascalientes,56.7,42.2
Baja California,40.6,57.9
Baja California Sur,35.2,63.1
Campeche,38.6,59.0
Coahuila de Zaragoza,53.9,44.6
Colima,30.7,69.0
Chiapas,36.9,62.0
Chihuahua,35.4,63.5
Ciudad de México,22.3,76.8
Durango,50.1,47.5
Guanajuato,22.1,77.5
Guerrero,22.3,75.8
Hidalgo,42.8,56.5
Jalisco,41.9,57.1
Estado de México,18.4,80.7
Michoacán de Ocampo,35.8,60.9
Morelos,22.0,77.0
Nayarit,50.7,48.1
Nuevo León,43.9,55.5
Oaxaca,43.1,56.1
Puebla,34.5,63.9
Querétaro,46.6,52.3
Quintana Roo,34.0,64.6
San Luis Potosí,36.2,62.7
Sinaloa,35.6,63.5
Sonora,39.2,60.3
Tabasco,12.4,86.6
Tamaulipas,28.4,70.6
Tlaxcala,43.4,55.8
Veracruz de Ignacio de la Llave,25.1,74.0
Yucatán,64.2,34.6
Zacatecas,29.1,70.4
