"","state","iso3c","year","GDP"
"1","Aguascalientes","AGU","2013",210386.653949161
"2","Baja California","BCN","2013",566716.263476845
"3","Baja California Sur","BCS","2013",140031.318003924
"4","Campeche","CAM","2013",877828.044229373
"5","Chiapas","CHP","2013",341990.280517283
"6","Chihuahua","CHH","2013",579821.873412087
"7","Coahuila de Zaragoza","COA","2013",655197.577971177
"8","Colima","COL","2013",111295.034509466
"9","Distrito Federal","DIF","2013",3254113.4324358
"10","Durango","DUR","2013",230147.410797252
"11","Guanajuato","GUA","2013",723819.009966372
"12","Guerrero","GRO","2013",266374.626047238
"13","Hidalgo","HID","2013",281191.722045557
"14","Jalisco","JAL","2013",1239988.0573822
"15","México","MEX","2013",1661899.16891196
"16","Michoacán de Ocampo","MIC","2013",437603.468060177
"17","Morelos","MOR","2013",221715.084830053
"18","Nayarit","NAY","2013",126153.063390289
"19","Nuevo León","NLE","2013",1369542.2447413
"20","Oaxaca","OAX","2013",298884.029219096
"21","Puebla","PUE","2013",632127.847269485
"22","Querétaro","QUE","2013",389546.215165088
"23","Quintana Roo","ROO","2013",274240.411898457
"24","San Luis Potosí","SLP","2013",374824.23358037
"25","Sinaloa","SIN","2013",406720.372719897
"26","Sonora","SON","2013",621243.502373054
"27","Tabasco","TAB","2013",673970.921549055
"28","Tamaulipas","TAM","2013",576110.357576771
"29","Tlaxcala","TLA","2013",106711.873733924
"30","Veracruz de Ignacio de la Llave","VER","2013",951201.688441396
"31","Yucatán","YUC","2013",262694.341864927
"32","Zacatecas","ZAC","2013",178781.629606348
"33","Aguascalientes","AGU","2015",232564.840564261
"34","Baja California","BCN","2015",576257.594947108
"35","Baja California Sur","BCS","2015",139841.031960285
"36","Campeche","CAM","2015",836660.840937922
"37","Chiapas","CHP","2015",359316.927180923
"38","Chihuahua","CHH","2015",592686.516931589
"39","Coahuila de Zaragoza","COA","2015",688818.733035075
"40","Colima","COL","2015",114077.009674538
"41","Distrito Federal","DIF","2015",3323251.73337543
"42","Durango","DUR","2015",235609.345437596
"43","Guanajuato","GUA","2015",755994.495577156
"44","Guerrero","GRO","2015",278803.835437976
"45","Hidalgo","HID","2015",292265.935427374
"46","Jalisco","JAL","2015",1292949.9884729
"47","México","MEX","2015",1711032.33794896
"48","Michoacán de Ocampo","MIC","2015",466490.86990372
"49","Morelos","MOR","2015",224179.189818573
"50","Nayarit","NAY","2015",133019.654254757
"51","Nuevo León","NLE","2015",1414664.06676991
"52","Oaxaca","OAX","2015",305019.235760474
"53","Puebla","PUE","2015",638276.801581566
"54","Querétaro","QUE","2015",420788.077043294
"55","Quintana Roo","ROO","2015",284452.780176598
"56","San Luis Potosí","SLP","2015",383953.521488263
"57","Sinaloa","SIN","2015",415381.387916301
"58","Sonora","SON","2015",631916.912178944
"59","Tabasco","TAB","2015",685167.406456741
"60","Tamaulipas","TAM","2015",582573.599342551
"61","Tlaxcala","TLA","2015",110167.576096784
"62","Veracruz de Ignacio de la Llave","VER","2015",962767.084239551
"63","Yucatán","YUC","2015",271584.841233799
"64","Zacatecas","ZAC","2015",191210.523697997
"65","Aguascalientes","AGU","2016",241252.978786545
"66","Baja California","BCN","2016",615913.831439747
"67","Baja California Sur","BCS","2016",158375.80369118
"68","Campeche","CAM","2016",777584.530088913
"69","Chiapas","CHP","2016",353601.980238794
"70","Chihuahua","CHH","2016",627174.386583163
