"","inegi.code","year","indicator","value","state","code","region","inegi leading","state long","state caps","state caps sa","state.new","state.new.long"
"1",0,1950,"total population",27026573,"National","Nat","National",0,"National","National","National","National","National"
"2",0,1951,"total population",27780135,"National","Nat","National",0,"National","National","National","National","National"
"3",0,1952,"total population",28578641,"National","Nat","National",0,"National","National","National","National","National"
"4",0,1953,"total population",29418995,"National","Nat","National",0,"National","National","National","National","National"
"5",0,1954,"total population",30311877,"National","Nat","National",0,"National","National","National","National","National"
"6",0,1955,"total population",31272636,"National","Nat","National",0,"National","National","National","National","National"
"7",0,1956,"total population",32281478,"National","Nat","National",0,"National","National","National","National","National"
"8",0,1957,"total population",33337148,"National","Nat","National",0,"National","National","National","National","National"
"9",0,1958,"total population",34439604,"National","Nat","National",0,"National","National","National","National","National"
"10",0,1959,"total population",35591229,"National","Nat","National",0,"National","National","National","National","National"
"11",0,1960,"total population",36786543,"National","Nat","National",0,"National","National","National","National","National"
"12",0,1961,"total population",38025871,"National","Nat","National",0,"National","National","National","National","National"
"13",0,1962,"total population",39306372,"National","Nat","National",0,"National","National","National","National","National"
"14",0,1963,"total population",40619346,"National","Nat","National",0,"National","National","National","National","National"
"15",0,1964,"total population",41970377,"National","Nat","National",0,"National","National","National","National","National"
"16",0,1965,"total population",43359231,"National","Nat","National",0,"National","National","National","National","National"
"17",0,1966,"total population",44779078,"National","Nat","National",0,"National","National","National","National","National"
"18",0,1967,"total population",46234469,"National","Nat","National",0,"National","National","National","National","National"
"19",0,1968,"total population",47720198,"National","Nat","National",0,"National","National","National","National","National"
"20",0,1969,"total population",49236362,"National","Nat","National",0,"National","National","National","National","National"
"21",0,1970,"total population",50778729,"National","Nat","National",0,"National","National","National","National","National"
"22",0,1971,"total population",52354238,"National","Nat","National",0,"National","National","National","National","National"
"23",0,1972,"total population",53973953,"National","Nat","National",0,"National","National","National","National","National"
"24",0,1973,"total population",55619995,"National","Nat","National",0,"National","National","National","National","National"
"25",0,1974,"total population",57293865,"National","Nat","National",0,"National","National","National","National","National"
"26",0,1975,"total population",58993234,"National","Nat","National",0,"National","National","National","National","National"
"27",0,1976,"total population",60702805,"National","Nat","National",0,"National","National","National","National","National"
"28",0,1977,"total population",62414539,"National","Nat","National",0,"National","National","National","National","National"
"29",0,1978,"total population",64131336,"National","Nat","National",0,"National","National","National","National","National"
"30",0,1979,"total population",65849531,"National","Nat","National",0,"National","National","National","National","National"
"31",0,1980,"total population",67561216,"National","Nat","National",0,"National","National","National","National","National"
"32",0,1981,"total population",69267849,"National","Nat","National",0,"National","National","National","National","National"
"33",0,1982,"total population",70973052,"National","Nat","National",0,"National","National","National","National","National"
"34",0,1983,"total population",72671675,"National","Nat","National",0,"National","National","National","National","National"
"35",0,1984,"total population",74359027,"National","Nat","National",0,"National","National","National","National","National"
"36",0,1985,"total population",76030535,"National","Nat","National",0,"National","National","National","National","National"
"37",0,1986,"total population",77689757,"National","Nat","National",0,"National","National","National","National","National"
"38",0,1987,"total population",79339498,"National","Nat","National",0,"National","National","National","National","National"
"39",0,1988,"total population",80970606,"National","Nat","National",0,"National","National","National","National","National"
"40",0,1989,"total population",82579032,"National","Nat","National",0,"National","National","National","National","National"
"41",0,1990,"total population",84169571,"National","Nat","National",0,"National","National","National","National","National"
"42",0,1991,"total population",85748742,"National","Nat","National",0,"National","National","National","National","National"
"43",0,1992,"total population",87312337,"National","Nat","National",0,"National","National","National","National","National"
"44",0,1993,"total population",88850856,"National","Nat","National",0,"National","National","National","National","National"
"45",0,1994,"total population",90362709,"National","Nat","National",0,"National","National","National","National","National"
"46",0,1995,"total population",91843905,"National","Nat","National",0,"National","National","National","National","National"
"47",0,1996,"total population",93294783,"National","Nat","National",0,"National","National","National","National","National"
"48",0,1997,"total population",94720541,"National","Nat","National",0,"National","National","National","National","National"
"49",0,1998,"total population",96116960,"National","Nat","National",0,"National","National","National","National","National"
"50",0,1999,"total population",97482584,"National","Nat","National",0,"National","National","National","National","National"
"51",0,2000,"total population",98785275,"National","Nat","National",0,"National","National","National","National","National"
"52",0,2001,"total population",100105299,"National","Nat","National",0,"National","National","National","National","National"
"53",0,2002,"total population",101493987,"National","Nat","National",0,"National","National","National","National","National"
"54",0,2003,"total population",102890474,"National","Nat","National",0,"National","National","National","National","National"
"55",0,2004,"total population",104272444,"National","Nat","National",0,"National","National","National","National","National"
"56",0,2005,"total population",105669369,"National","Nat","National",0,"National","National","National","National","National"
"57",0,2006,"total population",107155391,"National","Nat","National",0,"National","National","National","National","National"
"58",0,2007,"total population",108744845,"National","Nat","National",0,"National","National","National","National","National"
"59",0,2008,"total population",110405454,"National","Nat","National",0,"National","National","National","National","National"
"60",0,2009,"total population",112095388,"National","Nat","National",0,"National","National","National","National","National"
"61",0,2010,"total population",113748671,"National","Nat","National",0,"National","National","National","National","National"
"62",0,2011,"total population",115367452,"National","Nat","National",0,"National","National","National","National","National"
"63",0,2012,"total population",116935670,"National","Nat","National",0,"National","National","National","National","National"
"64",0,2013,"total population",118453929,"National","Nat","National",0,"National","National","National","National","National"
"65",0,2014,"total population",119936411,"National","Nat","National",0,"National","National","National","National","National"
"66",0,2015,"total population",121347800,"National","Nat","National",0,"National","National","National","National","National"
"67",0,2016,"total population",122715165,"National","Nat","National",0,"National","National","National","National","National"
"68",0,2017,"total population",124041731,"National","Nat","National",0,"National","National","National","National","National"
"69",0,2018,"total population",125327797,"National","Nat","National",0,"National","National","National","National","National"
"70",0,2019,"total population",126577691,"National","Nat","National",0,"National","National","National","National","National"
"71",0,2020,"total population",127792286,"National","Nat","National",0,"National","National","National","National","National"
"72",0,2021,"total population",128972439,"National","Nat","National",0,"National","National","National","National","National"
"73",0,2022,"total population",130118356,"National","Nat","National",0,"National","National","National","National","National"
"74",0,2023,"total population",131230255,"National","Nat","National",0,"National","National","National","National","National"
"75",0,2024,"total population",132308276,"National","Nat","National",0,"National","National","National","National","National"
"76",0,2025,"total population",133352387,"National","Nat","National",0,"National","National","National","National","National"
"77",0,2026,"total population",134362934,"National","Nat","National",0,"National","National","National","National","National"
"78",0,2027,"total population",135339973,"National","Nat","National",0,"National","National","National","National","National"
"79",0,2028,"total population",136283592,"National","Nat","National",0,"National","National","National","National","National"
"80",0,2029,"total population",137193751,"National","Nat","National",0,"National","National","National","National","National"
"81",0,2030,"total population",138070271,"National","Nat","National",0,"National","National","National","National","National"
"82",0,2031,"total population",138912969,"National","Nat","National",0,"National","National","National","National","National"
"83",0,2032,"total population",139721625,"National","Nat","National",0,"National","National","National","National","National"
"84",0,2033,"total population",140496069,"National","Nat","National",0,"National","National","National","National","National"
"85",0,2034,"total population",141235991,"National","Nat","National",0,"National","National","National","National","National"
"86",0,2035,"total population",141941270,"National","Nat","National",0,"National","National","National","National","National"
"87",0,2036,"total population",142611735,"National","Nat","National",0,"National","National","National","National","National"
"88",0,2037,"total population",143247277,"National","Nat","National",0,"National","National","National","National","National"
"89",0,2038,"total population",143847469,"National","Nat","National",0,"National","National","National","National","National"
"90",0,2039,"total population",144412041,"National","Nat","National",0,"National","National","National","National","National"
"91",0,2040,"total population",144940511,"National","Nat","National",0,"National","National","National","National","National"
"92",0,2041,"total population",145432569,"National","Nat","National",0,"National","National","National","National","National"
"93",0,2042,"total population",145887882,"National","Nat","National",0,"National","National","National","National","National"
"94",0,2043,"total population",146306219,"National","Nat","National",0,"National","National","National","National","National"
"95",0,2044,"total population",146687548,"National","Nat","National",0,"National","National","National","National","National"
"96",0,2045,"total population",147032055,"National","Nat","National",0,"National","National","National","National","National"
"97",0,2046,"total population",147339891,"National","Nat","National",0,"National","National","National","National","National"
"98",0,2047,"total population",147611293,"National","Nat","National",0,"National","National","National","National","National"
"99",0,2048,"total population",147846533,"National","Nat","National",0,"National","National","National","National","National"
"100",0,2049,"total population",148045885,"National","Nat","National",0,"National","National","National","National","National"
"101",0,2050,"total population",148209594,"National","Nat","National",0,"National","National","National","National","National"
"102",1,1970,"total population",356491,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"103",1,1971,"total population",371369,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"104",1,1972,"total population",386794,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"105",1,1973,"total population",402633,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"106",1,1974,"total population",418900,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"107",1,1975,"total population",435558,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"108",1,1976,"total population",452538,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"109",1,1977,"total population",469739,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"110",1,1978,"total population",487198,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"111",1,1979,"total population",504873,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"112",1,1980,"total population",523567,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"113",1,1981,"total population",544127,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"114",1,1982,"total population",565855,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"115",1,1983,"total population",587908,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"116",1,1984,"total population",610258,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"117",1,1985,"total population",632843,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"118",1,1986,"total population",655680,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"119",1,1987,"total population",678806,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"120",1,1988,"total population",702144,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"121",1,1989,"total population",725631,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"122",1,1990,"total population",748737,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"123",1,1991,"total population",771490,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"124",1,1992,"total population",794389,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"125",1,1993,"total population",817353,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"126",1,1994,"total population",840342,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"127",1,1995,"total population",863323,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"128",1,1996,"total population",884636,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"129",1,1997,"total population",904251,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"130",1,1998,"total population",923720,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"131",1,1999,"total population",943020,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"132",1,2000,"total population",964010,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"133",1,2001,"total population",987520,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"134",1,2002,"total population",1011950,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"135",1,2003,"total population",1036717,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"136",1,2004,"total population",1061561,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
"137",1,2005,"total population",1086798,"Aguascalientes","AGU","Central",1,"Aguascalientes","AGUASCALIENTES","AGUASCALIENTES","Aguascalientes","Aguascalientes"
