code,state,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AGU,Aguascalientes,195028957,196945435,198752327,200525599,206994003,201530538,203320955,214793857,217623921,223813435,226377479,228641254,237786904,240164773,243286915
BCN,Baja California,809144527,817095692,824592203,831949231,856673778,830680208,851176315,891145995,902887483,928566805,939204622,948596668,986540535,996405940,1009359217
BCS,Baja California Sur,71925840,72632628,73299002,73952977,75212330,74309500,76143004,79215050,80258765,82541431,83487039,84321910,87694786,88571734,89723166
CAM,Campeche,26438310,26698109,26943053,27183440,52591310,8989602,21102504,29117658,29501304,30340361,30687945,30994825,32234618,32556964,32980204
COA,Coahuila,423307685,427467373,431389207,435238070,541252235,388023922,397597979,466207130,472349743,485783999,491349222,496262714,516113223,521274355,528050922
COL,Colima,230793800,233061726,235199970,237298428,227558554,245334418,251387770,254183232,257532278,264856839,267891083,270569994,281392794,284206722,287901409
CHP,Chiapas,263385603,265973796,268413995,270808790,182552529,318558814,326418897,290077999,293899985,302258892,305721620,308778837,321129990,324341290,328557727
CHH,Chihuahua,170513785,172189361,173769127,175319498,180529786,175052073,179371287,187794234,190268558,195680049,197921792,199901010,207897051,209976021,212705710
DIF,Distrito Federal,1200281431,1212076154,1223196445,1234109828,1270786113,1232227366,1262631200,1321922047,1339339319,1377431913,1393212003,1407144123,1463429888,1478064187,1497279021
DUR,Durango,63059867,63679533,64263766,64837129,29835455,71589923,96971032,69450569,70365630,72366922,73195970,73927930,76885047,77653897,78663398
GUA,Guanajuato,338575288,341902342,345039153,348117599,356171278,336374571,369796267,372887663,377800726,388545881,392997128,396927099,412804183,416932225,422352344
GRO,Guerrero,238755521,241101684,243313691,245484540,249977286,242392366,256747137,262951821,266416399,273993637,277132554,279903879,291100034,294011035,297833178
HID,Hidalgo,186116354,187945251,189669570,191361805,197048852,191069910,195784346,204978020,207678753,213585413,216032283,218192606,226920310,229189513,232168977
JAL,Jalisco,782120673,789806284,797052426,804163743,966013785,733945844,752055138,861383451,872732796,897554479,907837013,916915383,953591998,963127918,975648581
MEX,México,217484882,219622026,221636966,223614415,230259972,223273323,228782343,239525542,242681463,249583647,252442919,254967348,265166042,267817703,271299333
MIC,Michoacan,241999023,244377058,246619115,248819456,256214076,248439917,254569894,266524030,270035675,277715849,280897409,283706383,295054638,298005184,301879252
MOR,Morelos,247220742,249650089,251940524,254188342,322627461,263803964,188080257,272274936,275862353,283708246,286958455,289828040,301421161,304435373,308393033
NAY,Nayarit,112402178,113506712,114548089,115570089,119004696,115393803,118241017,123793398,125424465,128991704,130469454,131774149,137045115,138415566,140214968
NLE,Nuevo León,750990384,758370089,765327817,772156087,795103654,770978271,790001299,827098312,837995926,861829647,871702911,880419940,915636738,924793105,936815415
OAX,Oaxaca,107109973,108162504,109154849,110128731,88157870,122585485,125610145,117964864,119519135,122918419,124326593,125569859,130592653,131898580,133613261
PUE,Puebla,410955021,414993324,418800714,422537262,299534482,489688151,501770660,452602605,458565969,471608196,477011018,481781129,501052374,506062897,512641715
QUE,Querétaro,221293923,223468497,225518727,227530809,238852201,224903503,230452746,243720604,246931798,253954868,256864217,259432859,269810173,272508275,276050883
ROO,Quintana Roo,706750715,713695693,720243552,726669580,637669638,780624369,800387845,778375244,788630896,811060610,820352255,828555778,861698009,870314989,881629084
SLP,San Luis Potosí,142652056,144053845,145375478,146672521,151031455,146448793,150062253,157108902,159178924,163706185,165581630,167237447,173926944,175666214,177949875
SIN,Sinaloa,479264661,483974218,488414479,492772123,586595384,452422164,463585176,527834977,534789582,549999710,556300599,561863605,584338149,590181530,597853890
SON,Sonora,270690920,273350900,275858780,278319998,276497684,396464810,175479532,298123662,302051655,310642407,314201178,317343190,330036917,333337287,337670671
TAB,Tabasco,1083475,1094122,1104160,1114011,3371238,0,0,1193278,1209000,1243386,1257630,1270206,1321015,1334225,1351570
TAM,Tamaulipas,582281602,588003469,593398154,598692465,475921639,669935042,682687495,641292007,649741489,668221003,675876254,682635017,709940417,717039822,726361339
TLA,Tlaxcala,78131559,78899329,79623197,80333597,74167233,96270468,74696166,86049678,87183444,89663057,90690252,91597155,95261041,96213651,97464429
VER,Veracruz,304065826,307053769,309870858,312635532,331076500,307582709,315171969,334880894,339293190,348943141,352940692,356470099,370728902,374436192,379303862
YUC,Yucatán,68454844,69127525,69761741,70384156,46185958,44784564,124437784,75392292,76385639,78558149,79458124,80252705,83462813,84297442,85393308
ZAC,Zacatecas,100026668,101009593,101936314,102845792,94394660,98722177,120920700,110163712,111615198,114789683,116104733,117265780,121956411,123175975,124777263
