state,Seguro,Inseguro
Aguascalientes,44.31895696,55.15356602
Baja California,29.27311518,69.31421472
Baja California Sur,48.74563826,50.84829564
Campeche,38.83211241,59.69858063
Coahuila de Zaragoza,52.03401436,46.99896352
Colima,27.09414408,72.18501808
Chiapas,30.4074282,67.36510739
Chihuahua,30.54519491,68.74532831
Ciudad de México,18.44924895,80.73343151
Durango,42.92765814,55.5224663
Guanajuato,14.77634985,84.48441317
Guerrero,27.67189059,69.71674736
Hidalgo,34.60324799,63.61774424
Jalisco,29.98777638,69.08780673
Estado de México,18.85503324,80.10751266
Michoacán de Ocampo,31.09220764,66.3570112
Morelos,17.55327309,81.6129913
Nayarit,47.21526059,51.35529295
Nuevo León,32.76177944,66.02896666
Oaxaca,42.68158789,55.67673908
Puebla,17.79631524,80.86411257
Querétaro,39.06091472,59.46451331
Quintana Roo,22.96554908,76.31973782
San Luis Potosí,28.87051975,69.45105455
Sinaloa,43.38851304,55.76767222
Sonora,34.66142232,64.24077667
Tabasco,11.15786288,88.14878591
Tamaulipas,32.06069778,66.63782923
Tlaxcala,36.88650915,61.70880075
Veracruz de Ignacio de la Llave,27.6831608,71.41725217
Yucatán,58.81556732,40.15644562
Zacatecas,25.24183272,73.00941585
